RecordID,NPA,NXX,LATA,RateCenterName ,WireCenterName,WireCenterCity,State,ZipCode1,ZipCode2,ZipCode3,FIPSCode ,Latitude,Longitude
173,213,433,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90006,90005,06037,34.0587,-118.2822
174,213,436,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
175,213,437,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
176,213,438,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
177,213,439,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
178,213,441,730,LACZ 7,ANAHEIM-LEMON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
179,213,442,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
180,213,443,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
181,213,444,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
182,213,451,730,LACZ 13,LOS ANGELES-MADISON,LOS ANGELES,CA,90036,90019,90038,06037,34.0662,-118.3420
183,213,452,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
184,213,454,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
185,213,455,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
186,213,456,730,LACZ 2,LOS ANGELES-NORMANDY,LOS ANGELES,CA,90029,90027,90004,06037,34.0969,-118.2913
187,213,457,730,LACZ 1,IRVINE,LOS ANGELES,CA,90014,90071,90017,06037,34.0462,-118.2568
